Rating,Date,Review Text,Review Title,Is Helpful,Not Helpful
5,"Sep 03, 2021","Easy process with full transparency, auto draft and funding make everything smooth, great company!",Great company and easy process,0,0
5,"Sep 03, 2021",The application process was simple and straight forward. Acquiring this loan will help to increase my credit score and overall credit performance. Thank you Upstart for this opportunity without having an ideal credit score!,Very satisfied,0,0
5,"Sep 03, 2021",wow it was so easy to get my loan 1 2 3,wow,0,0
5,"Sep 03, 2021",This was the quickest and easiest loan application I have ever done. Not sure when the money enters my account though,happy happy happy,0,0
5,"Sep 03, 2021","NEVER BEEN SO EASY TO GET A LOAN. THEY WILL GET YOU APPROVED FAST!!!!! IF YOU NEED A LOAN, TRY UPSTART. QUICK AND EASY",VERY HELPFUL,0,0
5,"Sep 03, 2021",The process was so fast and easy! Would highly recommend them!,Great Company,0,0
5,"Sep 03, 2021",It was fast and easy. Very helpful,Best service,0,0
5,"Sep 03, 2021",There was a little mess up but they fixed it right away! The people I talked to where very helpful,Very helpful people,0,0
5,"Sep 03, 2021",Super quick and easy,Review,0,0
5,"Sep 03, 2021",great to borrow from. i can pay my credit cards off,did everything on line,0,0
5,"Sep 03, 2021",Everyone I talked with helped me through this process and were very helpful and professional. Good job!,Quick and painless,0,0
5,"Sep 03, 2021",Fast and easy,Fast and easy,0,0
5,"Sep 02, 2021",Super easy super fast I have my money on the same day,Easy,0,0
5,"Sep 02, 2021","The application process was simple and easy to follow. The follow-up was prompt, courteous and very professional.",5 Stars!,0,0
5,"Sep 02, 2021",Application was easy and understanding,Machine Operator,0,0
5,"Sep 02, 2021",Repeat customer here. fast and easy way to apply for a loan.,great company,0,0
3,"Sep 02, 2021",PLEASE BE AWARE ! All though the process was easy This is a HARD Inquiry and it lowered my credit score IMMEDIATELY. How can I trust Credit Karma's suggestions when they say soft inquiry and there is NO CUSTOMER SERVICE. Try it and you will see that you hit a WALL getting in contact with anyone at CK.,HARD INQUIRY Dropped my Score,0,0
5,"Sep 02, 2021","Wow what can I say. I have never applied for a loan and without talking to anyone was approved and had my money within an hour! Unbelievable, way to go Upstart!",SpeedyLoan,0,0
5,"Sep 02, 2021",I will recommend Upstart to everyone I know.,Very easy and fast,0,0
5,"Sep 02, 2021","OMG, this was the simplest loan process out of my over 60years of life that I have ever experienced! Simple. fast, and not a lot of paperwork or extra questions. Did I mention great customer service. Thank you so much!!!!!!!!!",Super easy and fast!,0,0
5,"Sep 03, 2021",the application process is simple and straight-forward and the verification instructions were easy to navigate. I will apply with them again if I need a loan.,HappyCustomer,0,0
5,"Sep 03, 2021",Very pleasant representative,excellent service,0,0
5,"Sep 02, 2021",The process was easy and without any hassles. Customer service was excellent and it was not a long drawn out process! Got approved in 24 hrs and funds available next day! I’d recommend this company over any traditional bank…rates were good!,Great Experience!,0,0
5,"Sep 02, 2021","Application process was very easy. No prepayment penalty, which is a bonus",Easy Process,0,0
5,"Sep 02, 2021",Very efficient. Responds in a timely manner. Painless process,Loan approval,0,0
5,"Sep 02, 2021",I applied for a loan and within minutes they were able to verify my information and approve me for the amount I requested.,Top Notch Loan Process,0,0
5,"Sep 02, 2021",Very simple straight forward application process. I will be able to cut down on all my payments. Thank you,Easy Peasy,0,0
5,"Sep 02, 2021",Credit Karma has been so financially educational to me and provided a recommendation to help build my credit with Upstart! Upstart is a savior in credit revival. They do a soft credit check to understand where you are at financially and then go to work to help. I will definitely re-review at the end of my experience but so far so good! I highly recommend.,Rebuilding credit after a divorce!,0,0
5,"Sep 02, 2021",Nice people . Or systembecause everything was smooth and quick . They approved my loan . Good people thank you.,This bank helped me a lot,0,0
5,"Sep 02, 2021",Fast and efficient,Highway recommend,0,0
4,"Sep 02, 2021",An easy and safe loan. They provide all the information upfront.,Thank you Upstart,0,0
5,"Sep 02, 2021",The application was easy. I was able to choose my monthly payments & my loan term. Definitely recommend,Easy process,0,0
5,"Sep 02, 2021","Simple terms and simple repayment. They give you up to 5 years to repay, and if you're smart when taxes come in you just pay it off in full.",Better than others out there,0,0
5,"Sep 02, 2021",The process was quick and easy.,Consolidation Loan,0,0
5,"Sep 02, 2021","Process was easy, reps were friendly, and they really helped me out of a bind. I would recommend them. The do charge an origination fee and their interest rate is a little high but you can decide if you want three years or five years to repay. I would recommend them",initial review,0,0
5,"Sep 02, 2021",Fast easy love the rates,Amazing,0,0
5,"Sep 02, 2021","Had been stressing about how I was going to pay some bills, now that stress is reduced because of Upstart. Plus I’m able to take care of some other stuff .",Terrific,0,0
5,"Sep 02, 2021","I got approval for 3,860 it was a easy process and very quick",Approve for loan,0,0
5,"Sep 02, 2021","I wasn't able to get a smaller loan, but it worked better getting the higher loan. I will be saving about $300 a month now.",The process was quick and painless,0,0
1,"Sep 02, 2021","They strung me along for two weeks, asking for additional and redundant documentation for one thing. I got messages saying my application was in the final stage of review, then spoke to a representative who said it hadn't been reviewed at all yet. Meanwhile, I applied to another loan company and was approved the same day, and with a lower interest rate than Upstart. Funds were in my account the next day.",Lengthy Process,0,0
5,"Sep 02, 2021","AMAZING application process, interest rates are a little high but it’s a perfect opportunity for a fresh start.",Best there is,0,0
5,"Sep 02, 2021",Fast processing. Website easily navigated. Approved my loan quickly even though I already had an existing loan with them. Thanks guys.,Another great experience with Upstart.,0,0
5,"Sep 02, 2021",So quick and easy I was very happy with the application process,My loan,0,0
5,"Sep 01, 2021",Service was excellent and process was easy.,A happy customer,0,0
5,"Sep 01, 2021",Excellent service and strong follow up to make credit beyyer,Credit karma Upstatt,0,0
5,"Sep 01, 2021",Fast and easy process!,Easy,0,0
5,"Sep 01, 2021",Excellent and easy to understand the process from beginning to end,Honestly,0,0
5,"Sep 01, 2021",Approved in 20 minutes - proceeds deposited the same day.,Awesome!,0,0
5,"Sep 01, 2021",Great company!!,Wonderful,0,0
5,"Sep 01, 2021","very easy to do, I was in between pay checks and they were there for me",quick and easy,0,0
5,"Sep 01, 2021",Applied on Sunday had the money in my account Tuesday morning! Oh my credit score jumped over 120 points!,Happy!,0,0
5,"Sep 01, 2021",Upstart is very professional. There rates and payments are very reasonable,Exceptional Service,0,0
5,"Sep 01, 2021","Never had one issue with them, it was super smooth process. Great lender by far.",Great lender!,0,0
5,"Sep 01, 2021",Easy process to get approved. I was able to pay off so much debt with this!,Awesome!,0,0
5,"Sep 01, 2021",Fast with no hassle,Easy,0,0
5,"Sep 01, 2021",Very simple process. Thank you.,Great experience,0,0
5,"Sep 01, 2021",fast process and easy!!!,wow!,0,0
5,"Sep 01, 2021",The process is so easy and I love that they don't run a hard check on credit report until after you've been approved. Great customer service too!,Fast and easy,0,0
5,"Sep 01, 2021",They are thorough and quick would highly recommend if,Loan,0,0
5,"Sep 01, 2021","Excellent quick process. Funded what I needs very quickly,",Great Process. Easy and secure.,0,0
5,"Sep 01, 2021","Didn't expect to be approved, but I was.",Really easy,0,0
5,"Sep 01, 2021",Quick and easy,Highly recommend,0,0
5,"Sep 01, 2021","I got approved for 6,000.",awesome,0,0
5,"Sep 01, 2021",Quick and easy. They really understand customer needs. High quality service.,We needed a vacation!!,0,0
5,"Sep 01, 2021","Fast, convenient and easy. From filling out the application to funding.",Fast and easy,0,0
5,"Sep 01, 2021",Upstart was fast decisive and funded within minutes! The whole process was clear and transparent! Highly Recommended!,Upstart are Highly Recommended!,0,0
5,"Sep 01, 2021",The application process was extremely easy and easy to understand.,Great experience so far!,0,0
5,"Sep 01, 2021",Quick and easy application. Easy instructions on-line with no difficulty--Thanks a million,Quick and easy,0,0
4,"Sep 01, 2021","Was a welcome relief when I needed a loan. The interest rate is a little high, but the terms are affordable. Easy to use and not a long waiting period to get an offer.",Easy to do,0,0
5,"Sep 01, 2021",I was stressed out being behind with bills because I got sick. Thankfully I came across Upstart. I was approved with a loan within 3 days.,Quick and easy.,0,0
5,"Sep 01, 2021",Just thankful,Pretty hard,0,0
5,"Sep 01, 2021",The process was fast and easy. I was approved for more than I needed with a decent interest rate and low payment. I am using this loan as an opportunity to consolidate my debt and continue to rebuild my credit. I'm thankful Upstart is giving me this loan.,"Fast, easy and thankful for Upstart",0,0
5,"Sep 01, 2021","Fantastic application and approval process, effective and efficient. Thank you.",Fantastic,0,0
5,"Aug 31, 2021",A true blessing in disguise. This loan is going to help me get back on track . Just when I thought the chips were down ! A huge thank you to the people at upstart.,A lifesaver !!!,0,0
5,"Aug 31, 2021",Fast and efficient.,Dana I,0,0
5,"Aug 31, 2021",I needed to consolidate debt badly. the timing and ease of this application took a weight off of my shoulders. I was approved for a reasonable loan with reasonable terms. Some people just need this help and I will make right on this opportunity!,Relieved,0,0
5,"Aug 31, 2021",This lender is an easy way to pay off debt and help you save money. I received a great interest rate (16.9%) based on my credit rating and am able to have automatic payments from my checking account each month. They make it easy to do business with them!,Easy to work with,0,0
5,"Aug 31, 2021",I got thru credit karma which has help me in many ways and got me thru you guys (upstart ) which got me approve of the loan to help me with my credit cards !! Everything was went well and when I finished paying this loan in good manners I hope I can’t count on them for future loans !! Thank u upstart !!,Excellent,0,0
5,"Aug 31, 2021",The process was fast and easy. I decided to apply since credit karma kept suggesting different lenders. Glad I gave them a try. I just knew I would get denied. But the approval happened within minutes. Thankfully I can consolidate some of my debt now.,Fast and easy,0,0
5,"Aug 31, 2021","The application process was fast and the funds were received very quickly. The banking app was very easy to use and self explainitory. I really like the app, you can see everything about your loan, very clairvoyant. I had no problems and didn't have to use customer service but the website was like customer service in itself.",Very good experience,0,0
5,"Aug 31, 2021","Very quick, painless and extremely understanding when other lenders were not.",Very Happy Customer,0,0
5,"Aug 31, 2021",Very easy to apply and I love the fact they called me to discuss the amount and make sure it was what I needed.,Ease of mind,0,0
5,"Aug 31, 2021",Very fast and easy,fast,0,0
5,"Aug 31, 2021",Even with a blemished credit score these guys were awesome in getting me the loan that I needed. It feels like this company is giving me a second chance thanks UpStart for giving me this opportunity!!!!,Second chance,0,0
5,"Aug 31, 2021",very fast and fair,great,0,0
5,"Aug 31, 2021",Thanks FinWise Bank and UpStart for giving me the help I needed. Most of my Banks that I have Bank with over the years won't even lend me a cent. All it took was a few minutes and a smart. Its good to see that there are people out there that really cares about what you are going through especially times like this.,Thats ma Bank!!!,0,0
5,"Aug 31, 2021",Fast and easy! Great terms - what more is there!,Good Deal,0,0
5,"Aug 31, 2021",Amazing lender who provides an excellent service with fantastic customer service….the ease of use is better than anything I have ever experienced financially,Amazing lender and so easy,0,0
5,"Aug 31, 2021",I received awesome customer service. The process was easy and very helpful. would recommend to anyone needing a loan!,Great experience!,0,0
5,"Aug 31, 2021",Very easy to work with and quick processing,Great company!,0,0
5,"Aug 31, 2021","Easy, fast process!","Easy, fast process!",0,0
5,"Aug 31, 2021",It was really easy to compare the rates and apply for the loan.,Nervous and excited at the same time.,0,0
5,"Aug 31, 2021",I am a senior citizen on social security and I did not think I had a very good chance of bring approved but I was and on the same day I applied. very happy,Great experience,0,0
4,"Aug 31, 2021",I got approved very quickly. The application process was very easy and the customer service was excellent.,Good Loan for People with Low Credit Scores,0,0
5,"Aug 30, 2021",Great process!,Awesome!,0,0
5,"Aug 30, 2021",Very quick and easy,Great,0,0
5,"Aug 30, 2021","Staff was very nice and professional, got me in and out in a breeze",Quick and fast,0,0
5,"Aug 30, 2021",I am lousy at the computer but was able to do everything that was asked of me so I am Seoul’s recommend upstart to anyone,Fantastic,0,0
4,"Aug 30, 2021","Easy to navigate and quick. While the amount was not what I needed to get me out of the red, it helped because it was fast. I needed more to cover all cost and get me out of debt, but was not approved for that amount. However, the rapid nature of the loan bought me time, so I'm grateful for that.",Quick and Easy,0,0
5,"Aug 30, 2021",Very easy to apply I got approved in minutes,Very good,0,0
5,"Aug 30, 2021",Amazing service. Fast and smooth,Wanted to consolidate debt and get lower rates,0,0
5,"Aug 30, 2021",Upstart really helped me during a rough time for me financially. I’m so thankful some stress has been lifted off of me.,Great last option for me,0,0
5,"Aug 30, 2021","I feel like Upstart just saved my life. Seriously. What a relief. I really did not want to be forced to borrow from a risky loan company with terrible rates, but often left with no choice because of an extreme financial hardship the last 2 years that have really dropped me under. Upstart considers more than just your credit score and if you have already taken a loan with them and been on time with your payments they prove to be loyal and will let you borrow again. This is going to really get me out of a terrible situation and I feel blessed. The application and approval process only took a minute or two and I just received an email that my funds will be available to my bank account tomorrow. What a wonderful service this has been.","Bad credit not a problem, upstart saved me.",0,0
5,"Aug 30, 2021",It was such an easy process and customer service was fantastic.,Highly recommend,0,0
5,"Aug 30, 2021",Fast approval time.,Loan,0,0
5,"Aug 30, 2021",So easy!! Very quick!!,Quick!,0,0
4,"Aug 30, 2021",Simple and easy,Easy-to-use,0,0
5,"Aug 30, 2021",They were very easy to work with and it took very little time to get my approval!,Great!,0,0
5,"Aug 30, 2021",Easy to work with and get setup. No fine print or hidden fees.,Recommended for personal loans,0,0
5,"Aug 30, 2021","Everything was so easy and fast y loved it, thank you",Great app,0,0
5,"Aug 30, 2021",Upstart offered what others wouldn’t. Giving Me an opportunity to consolidate and rebuild from the Covid setback.,Break through from the Setbacks,0,0
5,"Aug 30, 2021","They do a wonderful job in trying their hardest to help a person out, like me.",Awesome,0,0
5,"Aug 30, 2021",EXCELLENT CUSTOMER SERVICE,FAST RESPONSE AND EXCELLENT CUSTOMER SERVICE,0,0
5,"Aug 30, 2021",I really love how quick they help you. Will continue to use in future loan processes,Highly recommend,0,0
5,"Aug 29, 2021",Out if work for 8 months due to COVID. Have been working again for the last 7 months but burned through my savings and added debt. I needed a boost to get me through until I can catch up. Yes the interest rate is high but I can refinance later. The process was quick and easy and I was approved within minutes,Quick and easy to understand and use,0,0
5,"Aug 29, 2021",Honestly this is my first time getting a loan. I can’t believe I got approved so fast. Very thankful that they were able to approve and help me in this time of need.,Thank you!,0,0
5,"Aug 29, 2021",Fast loan process. Appreciate their transparency about having to pay all the interest back even if you pay off early. Good avenue for people with less then excellent credit.,Fast loan process,0,0
5,"Aug 29, 2021",Consolidating some finances to help with monthly charges and interest. Got approved.,Super easy,0,0
5,"Aug 28, 2021",Wow! Fast! I was approved right away!!,Highy recommend,0,0
5,"Aug 28, 2021",It was so easy to do the online application and approved in minutes,It's easy secure and fast,0,0
5,"Aug 28, 2021",Quick and Easy. All I needed was a bank account,Very Simple Process,0,0
5,"Aug 28, 2021",I got approved and I'm grateful this loan will get me on the right track! Thank you Upstart again!,On the Right Track,0,0
5,"Aug 28, 2021",Very easy! Helpful!,Great,0,0
5,"Aug 28, 2021","The process was easy, quick and super helpful",Helpful,0,0
5,"Aug 28, 2021",Great company- so easy to use. Even without a great credit score. Thankful !!!,Simple and Fair,0,0
5,"Aug 27, 2021",Very thankful that the loan was approved so quickly. Helped me out in a moment of need.,Easy,0,0
5,"Aug 27, 2021",I received excellent customer service; the process was easy and representatives were extremely helpful either via phone or email.,excellent,0,0
5,"Aug 26, 2021",I never dreamed I would be approved. I'm so excited to be rid of some horrible pay day loans!,The make it so fast and easy!,0,0
5,"Aug 26, 2021",Very quick and professional,Was satisfied with all of the loan process .,0,0
5,"Aug 26, 2021",It was just amazing easy and able to do everything online I got approved same day. So grateful and happy. Thank you Upstart.,Just amazing loved the help customer service line.,0,0
5,"Aug 26, 2021","Up and Standing Company fantastic Experience , Very Professional Staff",Outstanding,0,0
5,"Aug 26, 2021",Only got what I need from them to pay off credit cards. Just so I can have a little extra money. It was such a great decision for me.,Great,0,0
5,"Aug 26, 2021",I do not have the best credit but I was able to get approved for my personal loan. They understand that bad things happen to good people and give you a second chance.,"Quick, easy and done",0,0
5,"Aug 26, 2021",Only complaint to approve me! Long wait time to speak to someone but they called back quick,Quick and easy,0,0
5,"Aug 26, 2021",Upstart was very professional they came thru for me helping me with my credit,Upstart your credit,0,0
5,"Aug 26, 2021",Customer service was so helpful knowledgeable,Excellent,0,0
5,"Aug 26, 2021",Very fast process. The staff was very friendly. No hidden fees. Everything upfront and open for you to see. Will use again.,Fast and Uncomplicated,0,0
5,"Aug 25, 2021",Very easy and so helpful.,Cash,0,0
5,"Aug 25, 2021",The process is seem less and very easy. I had questions which were quickly answered. Lo on all Upstart gave me an opportunity to get out of a bind and make a business investment that will change my lifestyle!,Easy easy,0,0
5,"Aug 25, 2021",I’m am extremely pleased with your service and process. You were very professional and always answered my questions in a timely manner.,Great experience,0,0
